C11orf17
PCNXL3
AMIGO3
PIGU
ANAPC7
PYGO2
CD34
ZNF335
RHEB
IP6K1
ZNF174
GMEB2
ABCF2
FAM189B
CEP250
TTC13
CDH13
SLC26A6
IRGQ
RIC8A
AZI1
SLC41A3
LARS
SAPS1
VPS45
SPATS2
DEDD
PPM1G
POLA2
EZH2
AP3B1
CDK5
UBE2S
TMEM79
DTYMK
ZNF526
MAP4K2
RASL12
MANBAL
PIGC
TMEM120B
HMGXB3
TRAF2
NVL
HCFC1
TSGA14
FEN1
LIG3
TMEM206
SMG5
C22orf29
ANKRD52
ACBD6
ZKSCAN5
ZC3H3
CXorf36
DDB1
ELOVL1
GBA
HGS
CCNB1
TACC3
CCDC142
PLOD3
CCT6A
ILF3
ZNF259
CUL9
WDR67
RABIF
USP21
WDR12
DSCC1
MCRS1
EDC3
JRK
RECQL5
ATRIP
MCM7
KLHL12
ZNF775
ZNF740
GABRD
EHMT2
KIAA0100
CNOT3
PCGF1
VPS11
ZNF544
KIAA0415
RRM2
CCNF
HSP90AB1
SCAMP3
CRTC2
EXOC7
SMPD4
VPS72
REPIN1
CCDC93
RAD18
CDCA5
RFC4
SERF1A
R3HDM1
GCN1L1
KAT2A
PYCR2
SAP130
B4GALT3
AURKB
POLD1
CCDC97
DNAJC5
LZTR1
TCOF1
HIGD1B
IQCC
ZFP41
TOMM40
STIP1
RFWD2
UBAP2L
TRAIP
RACGAP1
PRIM2
FANCI
DUS4L
C20orf20
PA2G4
TAF6
SCNM1
ZNF696
SPTAN1
TUBA1B
METTL6
PSME3
KIAA1841
POLM
HAUS5
UBE2Q1
METTL3
SMARCA4
PPM1F
CASC3
CDCA3
XPO5
RTEL1
DHX34
TSEN54
SH3BP5L
AATF
C9orf25
TMEM106C
UBE2T
ENAH
RAD1
ARHGEF11
C19orf40
CDK5RAP1
NPLOC4
RBM28
LOC100125556
TRIM11
OLFML2A
C19orf61
CCNB2
CPSF1
MARS
ILF2
TATDN2
MED24
TRPC6
TTL
EPRS
RDBP
TUBG1
EFNA4
TOMM40L
C1orf77
TSPAN17
POC5
FARSB
DENND4B
GOLGA3
MORC2
NUDT1
DHX30
ZNF646
KPNA2
PLEC
DHX57
IQCE
DGCR14
FOXK1
CANT1
DHX37
DGKQ
MMS19
LRRC14
KIAA0907
SNAPIN
UPF3B
UBE2A
QARS
TBCE
PRCC
TCFL5
FBF1
SF4
BLOC1S3
USP39
LARP1
CCDC137
OTUB2
USF1
CPSF3
CENPH
H2AFX
CCDC99
FLAD1
PSMD10
PSMC3IP
NUP37
SUV420H2
TARBP1
ADCY6
PIGT
CD200
CABIN1
MRPS23
EPR1
THOC5
DPF2
MSTO1
CBFA2T2
PRKRIP1
BIRC5
MAST3
RFX5
RPN2
PTCD1
TRIM65
CRIPAK
TMEM201
CPSF6
CDCA8
FANCG
CPSF4
MEA1
MSH2
PRC1
RUSC1
FBXL18
CDC45
ZSCAN2
ZNF143
DCTN2
INTS4
MELK
LGTN
C7orf70
KIAA1797
RECQL4
CKAP5
UFD1L
ZFP62
H2AFZ
ZNF251
SLBP
FAM86C
SAC3D1
EED
UBQLN4
SEMA4F
AAGAB
C6orf153
MAVS
TOP3B
NOL12
C14orf93
C1orf85
RPTOR
AURKA
CUL7
KIFC1
ZNF707
IRAK1
SUV39H2
DOCK6
SAE1
DDX39
MCM3
C3orf71
GMPS
NUP155
AGPAT1
DNAJB11
SPC25
CAD
ACLY
UBE2C
PDRG1
BUB1B
VARS
TNFRSF4
CENPA
ZNF71
SCAF1
KIAA1731
CCHCR1
STOML1
KIAA0556
ZNF692
ZNF7
LOC90784
TMEM184B
XYLT2
AARS2
PIGF
FAM83D
ANKRD27
WHSC1
SORT1
PSMC4
NME6
C1orf35
INCENP
CSNK1D
SUB1
TCHP
RAD9A
CTNNA1
TBCC
GRPEL2
VPS33A
LPPR2
ADAM15
PLK1
SCRIB
OBFC2B
SETDB1
RBM34
CSE1L
FTSJ3
ZC3H10
SNRPA
NDC80
HMBS
SEMA3F
IDUA
RNASEH1
SNX27
TSEN15
ZNF207
ZWINT
B3GALNT2
PCBP4
SAMD1
RCCD1
RNASEH2A
KLC2
NCAPG
CBX3
NFKBIL2
YEATS2
UTP14A
CWC27
NAT10
SGOL2
KATNB1
MAZ
SLC4A2
DDX41
NOTCH3
C5orf34
ZNF512B
CENPM
ABCC5
SAMD10
MUS81
EXO1
SF3B4
DPH2
NCAPH2
RRP9
NECAB3
NAT9
IK
RASD2
CHAF1A
ZNF142
CAP2
ZBTB9
RCN2
ATXN7L3
PKMYT1
KIF20A
ERCC6L
ALG3
AP4M1
NF2
SUV39H1
CDKN2B
CSPG4
NSUN5
EXOC4
C12orf48
SBF1
PDSS1
ANKRD39
DBF4
FITM2
HMMR
CDKN3
NDOR1
PPOX
BUB1
PAQR4
PRKAG1
OLFML2B
ARPC1A
ECT2
FLVCR1
NFRKB
PSMD2
FIBP
CLK2
PRPF40B
RBM19
NEK2
MCM8
NCSTN
RUVBL1
ATP6AP1
ATIC
MED22
FAM20B
STXBP6
C7orf25
NUP205
DUSP12
SSR3
ANKZF1
MXD3
RNASEN
SKA3
MLEC
NOL10
PPIA
NME1
LOC100132111
ZFYVE26
CAMK2G
C16orf59
C8orf33
KIF3A
PCSK7
MYPOP
FOXM1
ARPC5
CAPN10
METTL2B
SLC26A2
GOSR2
MTA3
CDC23
C12orf32
SMC2
SLC12A7
C5orf54
SMG7
CCT5
TOPBP1
POLR1A
METTL13
SNRPB
VBP1
RPS6KL1
FANCE
C17orf65
ABCC10
ARL16
ASNA1
ARHGAP39
RNF216
PDCD11
COL4A1
KRI1
HSPA4
INTS7
ABHD12
DOLK
LRRC37B2
MESP1
PIAS3
YKT6
TAZ
UBE2O
ZNF607
TMEM104
CLCN2
PSKH1
LEMD2
DDX11
PEA15
RNF214
CYB561D1
ZBTB40
EZH1
ZNF815
TPX2
RFT1
ARFGAP1
CKAP2L
TMEM183A
RNF31
LOC348926
NOL7
HIST1H2AM
PPME1
TBC1D7
PTTG1
BAP1
ALMS1
SEMA5B
FAM111B
IL3RA
MCM6
GTF2IRD1
KIAA0101
PI4KB
ANLN
ZFP64
CDT1
CRAMP1L
PHF14
C22orf46
IQGAP3
PIPSL
UXS1
ARHGAP11A
COPS7B
STX10
CTSA
ZNF687
LOC407835
HARS2
ZNF623
INTS8
WHSC2
STMN1
INTS1
GTF2IP1
CYB5R1
JMJD4
TCF3
NEU1
C15orf42
POLR2G
CCDC34
CKAP2
IPO11
DNM1L
TMEM81
NPC1
TMEM209
PORCN
TIGD6
C12orf73
DLGAP4
COPG2
ZNF74
C17orf56
ZNF473
CNIH4
SPSB2
GARS
HNRNPR
PTK2
INPPL1
SLC39A1
NCAPH
ZNF282
TPD52L2
BFSP1
DNAH14
CEP55
MYBL2
USP14
BCAT2
UGGT1
C6orf89
OTUD6B
GGA3
MIF4GD
TTLL1
BUD13
LIG1
SLC25A19
PIGX
MTHFD1L
TBC1D13
FBXO43
GTSE1
TJAP1
PGP
WDR46
METTL2A
PODXL
YY1AP1
BBS4
DLGAP5
NES
COL15A1
NCAPG2
DIS3L2
GPATCH4
RBBP7
KIF24
RGS5
RAN
BPGM
KIF11
C22orf40
KIAA1522
HEY1
SLC25A29
ZNF572
ZNF517
PARP2
DSN1
NUP133
GOLT1B
SCN4A
CENPP
CDKN2AIPNL
C11orf82
NARS
RPAP1
CENPL
COG2
PCNA
AKAP8L
PMS2L3
TAGLN2
RAE1
SPNS1
MCM2
DYNLL1
GINS1
MFSD5
SNRPC
ACYP1
HTT
DBF4B
SKA1
STK11IP
C4orf42
OSGEPL1
SPC24
CBX1
DNAJC9
HIF1AN
CENPK
TRIM28
TCF19
ANKRD29
PLCE1
STT3A
RNF215
TMEM9
GON4L
XRCC1
IPO13
FAM83H
LOC642852
DLG5
CORO1B
SMC4
C16orf88
MPZL1
NSD1
WDR76
UBE2MP1
PYGB
LOC400927
ATP13A1
POLR3F
SIRT7
JRKL
FASTK
NAA40
KCTD7
C9orf100
HEATR1
FLYWCH1
HJURP
UBN1
CCDC134
C2orf44
WDR4
CDC25A
PIP4K2B
SUPT5H
ATG10
RNF8
USP22
MCM5
HINFP
GPATCH1
METTL5
CDC37
INTS3
FAM21C
ENTPD6
STX6
NCAPD2
CEP68
C7orf47
ZNF643
THY1
CBX8
?
SLC39A3
BTBD12
C1orf57
FIP1L1
MAGED2
CASP2
RAD51
CDAN1
STK19
GRK6
SOX13
RNF187
LOC153684
VWF
LOC646762
EXOG
IARS
IPO9
CHEK1
CHML
MKI67
GABPB2
C1orf156
PDZD11
LOC338799
CFL1
HIST1H2BE
WDR62
GPR158
RRM1
HDAC5
ZNF675
TSC2
AKR1C3
MTBP
SGOL1
NCOA6
CDC6
FIGNL1
FUS
KIAA0195
FAM54A
TFRC
FANCF
SNX11
DUSP28
DOM3Z
KIAA0232
ESM1
HIST2H4A
DNA2
CELSR3
CCDC15
USP5
RPUSD1
MAFG
C3orf26
STX1A
C2orf18
GNPAT
ATXN7L2
C17orf58
UNC45A
PSMD1
SNRPE
AIFM2
YIF1B
NUP107
ZSCAN16
C17orf86
PDCL3
SHC1
CANX
DKC1
THOC2
FAF1
LOC388152
C1orf74
NR2C2AP
E2F8
TLCD1
H2AFY
C6orf26
PPIL1
CENPE
PDCD5
SLCO1C1
CDC20
CDK1
DVL3
VPS37C
GIT1
C17orf75
MICALL1
FAM199X
RNF24
ZBTB45
ATXN2L
CC2D1B
DNMT3A
GMNN
PAFAH1B3
LLGL1
MAPK3
TIGD1
C19orf25
TRMT6
DVL2
C9orf69
C11orf59
C17orf90
NUP93
TMEM164
LSM4
RAG1AP1
SEPT9
PGS1
UFC1
KIAA1429
ATP6V1E1
KIAA0196
XPO1
MARK4
TOP2A
DYNC1H1
CCAR1
STRN4
UCK2
OR51E1
CDK4
STK25
LQK1
UBE2M
TRAF7
MKRN3
CKS1B
MSL3L2
PIK3C2B
NBAS
TIGD5
TRIP13
PUS7
POLA1
PPIAL4C
PRIM1
PPP2R5D
H1F0
MAST2
KIF23
RRP7B
TAF1A
SNHG1
RFXANK
PPPDE1
RAD54B
CCT2
RPL23AP82
ZKSCAN4
HEATR2
DAP3
KLHL7
MYO19
SMARCAL1
DDX10
MSH5
HSF2BP
RNF213
COPS6
C4orf46
UNC119B
PDXK
PMS2L4
GINS3
GOLPH3L
SSR2
ZMAT5
GPR172A
PBK
SLC26A11
AAK1
FAM200A
TMEM101
SMARCE1
VPS16
MED19
MTCH1
TSSK6
RPIA
CCDC66
FBXL19
C3orf62
ZFPL1
PXMP4
RNF220
UTP20
CLEC16A
GPR137
DSTYK
RCOR3
NUPL2
RBP7
CABLES2
TK1
NEDD4L
ITGA7
DNAJB6
TCERG1
FAM71D
YIPF3
RNPC3
FOXS1
ERI3
SLC36A1
EBNA1BP2
FAM86A
SIPA1L3
SLC39A7
TPM3
AP3D1
DONSON
MED20
CDKN2A
C8orf44
GPBP1
MIER2
PPIP5K1
C1orf9
FAM134A
TULP3
ZNF668
ASXL1
ACTL6A
SMARCD1
PTPN23
MICB
HES6
EIF2B1
KLHL22
MAD2L1
DTL
CLN3
NUDCD3
DRG1
TIMM50
TTC9C
UNK
PRUNE
KIF18A
PRMT3
OLA1
MED25
RFX8
POP1
USP49
DAXX
PKN3
STX4
WASF2
ITGB3BP
MCM4
KLF13
FBXO45
MESP2
CKS2
GNA12
GPRIN1
VPS13B
BRD9
C1QTNF6
SLC39A13
ITPKA
EDIL3
C19orf52
PRPF3
NOMO3
ZNF30
TIPRL
C6orf167
LOC729991
PRMT5
CENPF
GJC1
PRKDC
XRCC3
MAPKBP1
RBM15B
C8orf77
PABPC4L
MAPKAPK2
DEF8
GTPBP4
PHF19
CYP2R1
GPR107
NUDCD1
RMND5B
C1orf27
LOC146880
RRP15
POP4
TROVE2
APOA1BP
BUB3
ATP6V1C1
DCK
TYMS
UBL4A
BAT3
ZNF205
ZSWIM1
WDHD1
BCL9L
SAAL1
CCT3
SPA17
TRIL
CTTN
PPHLN1
LZTS1
HIST1H2BK
EIF4ENIF1
TRIM27
LOC100286793
ZBTB12
POMGNT1
PSMD4
TIGD7
ZNF500
C12orf34
PLEKHA8
POLR3K
DNM1P35
XRCC6
DLL4
PSPH
WDR55
XRCC2
TMCO1
NSUN5P2
COPZ1
ZNF605
COG5
ZNF8
LYSMD1
CDC25C
SLC4A1AP
C17orf80
ADA
PIGM
SEPT8
LIN9
HELLS
EFTUD2
MANEAL
