ANGPTL6
ADAMTS13
ECM1
LCAT
COLEC10
ALDH8A1
AADAT
CRHBP
CYP2C8
CYP4A11
CYP2C9
GYS2
C1RL
VIPR1
KBTBD11
TMEM220
SERPINA11
IGFBP3
FCN2
GLYATL1
LIFR
DACH1
APOF
CXCL12
PLGLB2
C1R
PBLD
STEAP3
PLGLA
CLEC1B
BRP44L
NAT2
CMTM6
C9
RDH16
BMPER
PLG
BCO2
GDF2
DNASE1L3
MSRA
MAT1A
MLYCD
NCRNA00181
CFP
ZADH2
CNBP
GNA14
C8B
GNPNAT1
NGFR
PLAC8
FXN
NTF3
N4BP2L1
OIT3
LRAT
C14orf68
ETFDH
HAO2
IVD
PLSCR4
HAO1
CYP39A1
ID2
TUBE1
FCN3
ACSM3
C6
C8orf4
UGT2B7
MMAA
MASP1
NDRG2
ALDH2
UGP2
PAMR1
CSRNP1
C8A
ACADS
ALB
CPEB3
SERPINF2
SYNE1
PGM1
GLYAT
AFM
DHDPSL
LARP1B
SLC35D1
GSTZ1
HMGCL
CXCL14
STOM
SATB1
TRIB1
HMGCLL1
GNE
ZNF330
SLC22A1
EFNB3
ACSL1
MYD88
GCKR
DCUN1D3
OLFML3
DBH
F9
C21orf91
ACAA1
GBA3
ERLIN1
C7orf58
ADH4
PHACTR3
ADH1A
ACAD11
ETS2
GHR
FBP1
FXYD1
LPA
DIRAS3
IL18R1
RBM7
NHEDC2
DCN
GPM6A
CLEC4M
EPB41L4B
FGB
FAM122A
GPR182
IRF8
ADRA1A
RNF165
TSLP
MCC
GPR126
CIDEB
TAPT1
HEBP1
GC
NFIL3
GPR128
FERMT2
SLC39A14
SARDH
DEPDC7
FARP2
ADK
RGN
AGXT2
CCBE1
SHPK
CLEC4G
DMGDH
FTCD
STAB2
C3P1
FOLH1B
KCNN2
FAM65C
ACADSB
MMADHC
ADH1C
INTS10
GPR146
PANK1
NR3C2
OSTF1
NRBF2
PIK3C2G
AGTR1
KLKB1
TMEM27
KLHL15
PCK1
ABAT
JDP2
EPHX2
DNAJC25
C9orf95
GRHPR
IL1RAP
ANTXR2
CFI
KDSR
FRMD4B
PELI2
SPRY2
CXCL2
GIPC2
PTH1R
ECHDC2
PPAP2B
STARD5
ECHS1
HPX
C1S
FGG
GLOD4
MT1E
TDO2
ST3GAL6
CYP3A43
CHIC2
FGA
HECA
MAP2K4
CYB5A
ZFP1
ESR1
BMP5
TMEM66
TSPYL1
PEMT
EDNRB
AQP3
RHOB
HP
ACOX2
REPS1
SLC19A3
MAP2K1
RCAN1
DDX19B
PALM2
ACAA2
CYP4F2
SERINC1
DPYS
SPP2
CLPX
CDC37L1
PROS1
OGDHL
MOGAT2
FCGR2B
CBFA2T3
JMJD5
CP
ADH6
FBXL3
NPY1R
INS-IGF2
SRD5A2
ZFP36L1
C9orf72
SOCS2
ABCA8
SNX9
TPT1
MT1X
DLC1
C11orf24
MYO1B
MFAP3L
ALDH6A1
ITIH1
SFRS5
NAAA
HS3ST3A1
NAT1
TTC36
PHLDB2
PGLYRP2
PEX13
DSE
SFRS2B
BNIP2
GRAMD1C
ITIH4
MUT
BCKDHB
POLR1E
CCDC28A
FOXO1
CD1D
NR1I2
TBXA2R
BDH1
FAHD2A
CYP4V2
RNF180
EPM2A
GNAO1
SKAP1
HSD17B13
ASPA
C21orf33
SERPING1
FAM150A
CAT
MARCO
PROSC
KIF19
SERPINA10
MTTP
KLF9
DUSP6
BCHE
SLC22A3
NDST3
SDHB
FAM180A
ADRA1B
RCL1
SLC27A2
ANKRD55
CBARA1
ACSM5
A1BG
IFNAR1
FGFR1OP2
SIGLEC7
SPRYD4
RAB14
CD4
ALDH1B1
PROZ
MBL2
ACAT1
MTHFD2L
IL33
USP15
AK3
CBR4
PIGV
FCGRT
SLC16A2
SLC31A1
COL6A6
MAF
MPDU1
MT2A
BSDC1
TMEM26
ACADM
C19orf66
FAM176A
MS4A6A
C9orf78
DUSP1
SOCS6
PDLIM5
HSD17B6
ADH1B
LRRN3
TEK
EHD3
LIN7C
RASGEF1B
FAM13A
BEND4
C6orf145
C11orf54
LONRF1
PNPLA7
AIM1
MAOB
CRYL1
NDEL1
ARHGAP10
C4orf34
CDA
MT1G
ACVR2A
MST1
F8
LRRC4C
ALDOB
UROC1
HGF
ANXA10
FAM149A
SLC38A2
PCDH9
CTBS
IYD
SAA4
SERPINA4
CD14
CD81
SUCLG2
ISOC1
PROC
CPN2
SEC24B
MTHFD1
TMCO7
SORD
RAB12
AQP7
AZGP1
PVALB
CNDP1
LYRM5
TNFRSF1A
FABP1
KMO
SCP2
FAH
TBC1D15
APOL6
TTC39B
SLC31A2
FCGR2C
TMEM30A
STAT3
SLC27A5
BAI3
ACADL
GJB2
SLC25A20
TMBIM6
PPP2R2A
MAN1C1
CD302
RNF152
CREBL2
TMEM170A
AMHR2
SYTL5
SLC39A5
C4orf3
ATP8B4
PTMS
ADRA2B
LYVE1
NKIRAS1
RCBTB2
MFSD2A
MGC16703
C9orf103
APOL1
C20orf56
GATM
ACACB
PRODH2
TMEM192
KLF10
LILRA2
MRPL39
ASPG
TMEM56
TJP2
CDO1
DPF3
MT1F
SLCO2B1
NDFIP2
RNASE4
EGR1
AKR1D1
LRRC4
ST7
DNAJC16
BBOX1
NKX3-1
SGPP1
NSUN6
WDR17
LRRC55
S100A8
RAB17
C21orf62
YES1
APOH
SFRP5
SEC62
AIG1
SIGLEC9
LMAN1
PRAM1
KLF11
RIPK4
PEX11G
CALN1
GPD1
RNF125
C13orf26
LYRM1
PRR18
CYP2J2
PON1
LOC152225
TOR1A
CD164
JHDM1D
USP38
DHRS1
FAM5B
LDHD
PER1
C1orf168
MOSC2
C5orf4
IER2
CAMK4
STK40
BDH2
CPT2
CCDC25
DHODH
MAP7
JUNB
KHK
HABP2
ORM2
ZFP36
C3
CSF3R
CYP2B6
SLC41A2
FAM82A1
GLOD5
UBE2D3
B4GALT1
SEPSECS
PCK2
UGT2B10
ASPDH
ABCD4
ZG16
HDHD2
PHOSPHO1
TLR4
KLHL36
LDLR
PRNP
BMP10
CMPK1
GRM8
PIPOX
ABCA1
TNFRSF11B
ACOT12
HK3
PDE2A
TPPP2
SLC2A2
FYN
ABHD6
AGL
CYB5D2
IGFBP1
TRMT11
NUDT10
PDIA5
RYBP
AMBP
LILRA5
COMT
PEX3
ANGPTL3
GPHN
ZBED1
MAN1A1
F2
TERF2IP
SLC16A5
EDEM1
FITM1
FAM46A
NNMT
LILRB5
AGPAT2
PC
SGEF
CD5L
FOLH1
CD200R1
DMD
ZCCHC2
ADI1
CCL23
SAMD4A
ATP11C
MCEE
KDM6B
METTL7A
ZSWIM6
CBS
DHRS12
MYCT1
RND3
SORL1
SLC25A37
SLC13A5
OTC
IGF1
CCT6B
AGXT2L2
WNT2
HIBCH
CSAD
PTPRB
CDKN2AIP
FGL2
GLUD1
COL25A1
PTGIS
ABCC9
STX17
CYP27A1
GATA6
ST6GAL2
SFXN1
NIT2
MLF2
SOX6
MAP2K3
FANCC
FOS
C7
SLC8A1
JUN
GADD45B
MT1M
NDUFV2
PTPN3
BGN
SHBG
AVPI1
TSPAN9
SPTLC3
CYP1A2
SYT10
C18orf19
PHGDH
TUSC1
SFRP1
AKAP3
TRPM8
C21orf88
PCTP
FAT4
TPMT
PPIL4
PCBD1
NCOR1
SAMD5
NHLRC3
SELP
PRDX3
CTSO
MRO
MS4A7
LPAL2
PDGFRA
PEX14
F11
CEACAM3
RPH3AL
QKI
GOT2
INPP5B
NT5DC1
C18orf18
EHHADH
CRBN
PON3
DHX58
DUSP14
C14orf73
C5orf33
SIGLEC11
CYP8B1
UBXN8
SIGIRR
DOPEY1
SLITRK6
TSPAN7
SLC10A1
AKAP2
VNN1
BET3L
HAAO
SPG7
FTSJD1
SLC9A9
SUOX
RNF130
MXRA5
APOA1
CYP4F12
PPP1R3B
PCCA
CHP
ATF5
SLC22A10
TK2
AHSG
MIP
ECHDC1
SLCO1B1
ELF1
CCDC90B
TRANK1
MT1H
COL18A1
APOB
ACSM2A
SLC35A1
PPP2CB
QDPR
ECH1
PNP
C1orf173
PUS10
SLC45A3
FBXO21
ALDH9A1
C16orf70
GABARAPL1
SPG20
C6orf72
IL4R
DNAJC12
NFE2L2
CFL2
TCHH
UBB
GRPEL1
NCKAP5
BLNK
GPRASP1
CYP2C18
SIRT1
IGFALS
TMEM25
VMO1
PICALM
CDNF
PPFIBP2
CCNL1
SERPINA1
RAB21
LOC100133669
PLIN2
FAM134B
SEPP1
CD163
SIGLEC1
LY6E
LHX2
PNRC1
C16orf72
TTR
PMPCA
ORM1
PITPNM3
NXF3
SNX14
ITGA9
CD244
TMEM132E
C12orf72
TIAM1
MARCH5
LOC255167
JMJD1C
NHLRC2
FAM164C
DUSP10
CDC40
VNN3
NR1H4
LRG1
PTP4A1
GCGR
C5orf36
SULT2A1
ANKS4B
AGXT
IQGAP2
NFKBIZ
SDC4
FAM188A
ADHFE1
CYB5D1
PECR
IFT46
MCL1
SLC6A16
SLCO1B3
RBL2
C6orf115
SULT1A1
FAM163B
PHLDA1
HPS5
ARSD
STYX
GCH1
FOSB
SRD5A1
DCAF11
FPR1
ZNF295
GLP2R
HERC3
AGMAT
C8orf80
KLRF1
GADD45G
ALDH4A1
ARID3C
FAM100A
SALL1
C10orf26
CALM1
PAH
CRAT
TCF21
PRRG4
DBT
AOX1
VSIG4
TANK
EFHA2
SETD3
NAB2
RNF138
TSPAN12
CD226
SPTBN2
DUSP16
SLC25A16
PRIMA1
ACOT1
VKORC1
PSD4
LPIN2
PPAPDC1A
ZNF24
FGFR1OP
MRPL32
UBL3
LILRA3
PDE8A
TMEM53
TMEM82
ZBTB2
ECE1
COBLL1
SLC1A1
ATF3
GPR65
FCHSD2
TRAF6
MIER1
SLAIN1
TSC22D2
KIAA1737
PRMT10
SLC46A3
C14orf4
RRN3
PHYH
SLC17A2
ABCD3
C17orf61
SLC6A12
LILRA1
ACOT2
LEAP2
CMBL
FAM99A
CEPT1
TCTEX1D1
PDLIM2
MYO16
CTSL1
OTUD1
ID1
TM2D2
ANKRD57
ARID4A
GCDH
CHRM2
CFB
KIRREL3
SGK1
ABLIM3
LIPC
APOA5
CITED2
SMOC1
CYP4F3
LAP3
LRCH1
EPHA2
RAD23B
INMT
ZGPAT
IL1RAPL2
ARHGEF12
CYP4A22
MCCC2
FAM198A
DERA
TPRG1L
FAM110C
C9orf150
CTSB
PXMP2
ALAD
TESK2
NBLA00301
ZFAND5
PRKAG2
DDX3X
HDAC6
HMGCS2
CXCR2P1
LOC643837
LDHA
SLC38A4
ADAMTS1
REPS2
CCNH
PDE7B
ZNF597
SSFA2
DYNLL2
TPD52L1
CCR1
CLEC12A
KIAA1012
SAV1
ZNF654
GPR180
EPHB1
ZFPM2
ENOSF1
SLC37A4
DHTKD1
ABHD15
ABHD10
C6orf142
S100A12
MTMR9
FAM82A2
PDK4
MPDZ
ZCCHC24
FUCA1
SDHD
CEBPD
LIPG
HS3ST3B1
PLA2G12A
EI24
DMRTA1
SPIC
FPR2
SERTAD1
LEPREL1
PRR5
RAB27A
DAK
C6orf225
HYAL1
XDH
TBX15
PALM3
CYR61
PCA3
C10orf57
ACBD4
UBAP1
NAPSB
OSBPL11
SH3BGRL2
CLRN3
C9orf68
CLU
MGMT
TMEM47
PDCD1LG2
EIF5
TRAPPC6B
CTAGE5
ACOX1
TRPV4
CLYBL
C11orf71
DPYD
FAM83F
BHLHE40
FNDC4
GPR123
UBE3A
GCHFR
PGGT1B
STRN3
MXI1
CYP3A4
NAMPT
CETP
PAPSS2
KCND3
RDH5
SRPX
GBP7
FCGR3B
TNXB
FGL1
FMO3
THNSL1
PAFAH2
AKIRIN1
SIK1
BRWD1
NADK
CTNNA3
DPEP2
SLC17A8
TMEM195
AXL
ENO3
OAF
PCMT1
IL1RN
LARP4
ERRFI1
SYDE2
CCL14
SAMD12
C4orf29
NAP1L5
HSBP1L1
ADAMTSL2
TTC19
BHMT2
PQLC1
TPST1
AKR7A3
ODF3L1
TMEM133
P2RY12
EIF5AL1
SMPD3
NIPSNAP1
ADORA3
ITSN1
TNFSF11
C11orf65
FEZ1
ARL5B
ETHE1
C17orf87
PIM3
PDSS2
ST6GALNAC6
PRKAA1
YAF2
TRAM2
IDO2
APCS
WEE1
RABEP1
KLF6
IGJ
PSAT1
INHBC
TPK1
ESRP2
LZTFL1
ZSWIM7
FCAR
SNRK
PINK1
BHMT
C2orf47
HGFAC
MBIP
GPR125
FFAR2
AMT
NEK6
OTUD4
MRC1
ASGR1
CLN5
HADH
CD300A
P2RY13
CES7
SLC16A4
MEIS3P1
SLC25A25
LONP2
HSD17B2
SNIP1
ABHD13
ZNF684
EGR2
CCRN4L
LECT2
PEBP1
SRGN
UBE2G1
YPEL2
ST8SIA6
RARB
GPR83
ID2B
CROCCL1
DSCAM
FREM2
DNAJC15
ECHDC3
STRADB
TMEM71
JUND
ESD
LTK
IL10
PM20D1
MRPS2
ATOH8
ERG
PRSS53
CPEB4
PPP2R2D
SYT4
RTN4
ATOH7
SHMT1
AKT2
NR0B2
ANKRD56
IPPK
FBXO15
SMARCA2
GFOD2
S1PR1
PZP
DAZAP2
TMEM57
C14orf43
SUN2
TTC38
DLG2
PADI4
CPB2
RUNDC3B
TTPA
CPN1
GLT1D1
NR4A3
THYN1
CA2
PID1
OSBP
THBD
SOX5
RCVRN
ATMIN
CREB3L3
ACVR1C
FAM35B2
SOX10
ASGR2
ABCG5
EIF4E3
FBXO28
HAMP
CPOX
INVS
GPT2
HINT3
ALDH5A1
MTHFS
CISH
ADO
JAGN1
ELP2
AFF4
TMPRSS2
USP6NL
DPT
FBXO8
RBMXL1
SERPINB9
LSR
ATG5
FGD4
PREP
ST6GAL1
C14orf105
TIGD2
AP1G1
NFIA
CD180
MT1A
HBB
C11orf1
C12orf23
CCL3
GHITM
C14orf53
NCOA7
PNPLA4
BCL2L13
C19orf35
PCSK2
SFXN5
ACY1
ALAS1
CNGA1
PIK3AP1
GLS2
HIVEP1
LOC728606
FCGR3A
ZEB2
DPH1
NIPSNAP3A
KIAA0922
MEFV
ZCCHC6
SFXN2
STAB1
RWDD2B
NLRC4
CDADC1
NRIP1
C4orf19
FBXO34
FETUB
KIAA1217
RNF146
RAB33B
MBNL2
SLC28A1
DICER1
RNF122
LRRC47
DUSP5
UPB1
EMR1
SULT1E1
OCIAD2
ANKFY1
C1orf115
CNKSR3
ZNF274
WDR7
BAAT
SLC25A18
REL
FAM99B
EXOSC6
EGR3
NUMB
RNF144B
HIBADH
KLF4
ADH5
ARHGAP20
ACTR3C
NR4A1
TBXAS1
KCNMA1
CES3
HERPUD1
TSPAN11
TF
C4A
NFAM1
EPHA7
RAPGEF4
PLEKHA2
PROK2
TFR2
ERI2
SEC23A
MDN1
PRG4
RASGRP4
PTGER2
STX11
SAT2
GPR82
INTS6
CAMK2D
DGAT2
F12
ALDH1A3
C7orf63
TLR2
DNALI1
SIRT5
ENPEP
TCEAL7
CCL4
LOC647121
SOCS3
TIMD4
CLN8
ZYG11B
CLINT1
FLJ36031
PPP3R1
SLC30A1
SH2D1B
RBP5
SLC25A13
GABARAPL3
HRSP12
PJA2
RGS18
NFATC3
AGBL4
TOPORS
PHLPP1
MGST1
LDB2
FAM54B
GRIN2B
CDH19
RSC1A1
NUS1
IPO8
ASS1
SORBS1
PTS
KLHL28
RAPGEF2
C5
METTL14
SIGLEC5
CYP2U1
GALNT4
MYOM2
CYP26A1
THBS1
BTBD19
FUBP3
PNPO
KCNE1
EIF5A
ZBTB10
LILRA6
FMO2
SDHA
SIGLEC16
SERPINA3
SERPINB8
GALM
CILP
SLC6A13
MPEG1
CHSY3
C17orf100
AR
GAS1
FGR
ARG1
PTGS2
ARVCF
CX3CR1
SELE
C2orf42
PLP1
GNMT
PPP1R15A
CDHR2
MAG
MACROD1
VTN
SVEP1
RLF
GIMAP8
IFITM1
GADD45A
HOOK1
SNX33
PPARGC1A
SLC9A3R2
C1orf162
PLA2G16
LATS2
TAB2
MEGF10
CCDC3
PDXDC1
SNX4
CCL4L2
CHURC1
SMU1
SFRS6
FAM107B
STEAP4
IL1R1
SYBU
DTX1
C6orf114
NMD3
RANBP6
MRPL46
WDR59
CREM
ZMYND12
SLC27A6
ABHD2
MFAP4
SULT1A2
SRRM1
LTBP4
RAB6A
RFPL1
FGFBP2
GFOD1
USPL1
SHMT2
AP4S1
RNF11
ATG2B
PNPLA8
PPM1A
RANBP3L
ARHGAP42
SMAD6
LCA5
NAB1
SLC4A4
ITCH
GRB14
IL13RA1
AKR7L
HPN
GP6
NEGR1
SLITRK3
CASP7
TAT
FAM35B
AK2
PLK3
UBE2L6
KCNA3
ACYP2
ZNF800
CHST7
NUDT9P1
SIRT3
TMEM154
HERC5
SERPINE1
NUDT6
KALRN
DHRS3
HRG
KLF3
CDK17
G6PC
LIPJ
IL1B
CDC14B
RPAIN
FAM126B
ENPP1
CHD1
CNDP2
FAM185A
RCHY1
FAM46C
PER2
XG
RBMS3
PRCP
TNFRSF1B
TRIM14
ELF2
RNF167
F7
SDC3
GBP1
RORA
TCEB3
TNKS2
ABCA6
NLRP12
ZNF830
TNN
ABCC6
PPP3CA
PPP6C
SMC5
CXCR1
PPAPDC2
CDK9
FAM69A
LNX2
FDX1
DCTD
SMAD1
CWC25
SOD1
FOXP2
XBP1
ST6GALNAC3
A1CF
AFARP1
IL17RC
C16orf87
SHB
SIGLEC14
ST18
LRRC3
SELO
NEIL2
FBXO33
CYP2C19
RBKS
VPS4B
KLC4
C1orf212
MMRN1
SLC25A42
COLEC11
NCOA4
MIA2
MYC
TIPARP
ZDBF2
FRMD6
GRHL1
ZNF460
CTSZ
SERPINA5
SLC19A2
FLRT2
MEGF9
C1orf128
HBP1
C8orf40
ALKBH1
ASPN
AVPR1A
BCKDHA
C1QC
VTA1
USP44
C16orf86
YIPF4
IL27
SESN1
